trace,memory,mse,mape,rmse
0.43,1.75,0.20338938020833322,1.1495443690296627,0.4509871175636098
0.43,2,0.21141094791666656,1.1717406674208142,0.45979446268595553
0.43,2.25,0.21850677604166635,1.1919416163901448,0.46744708368078025
0.43,2.5,0.22064344791666668,1.1970772844394169,0.4697269929615145
0.43,2.75,0.2274661875000002,1.2156847033685274,0.47693415426031316
0.43,3,0.23543606770833336,1.2353106146304675,0.4852175467852882
0.43,3.25,0.23814896874999988,1.24264116704374,0.4880050909058223
0.43,3.5,0.2412802760416663,1.2517651772247351,0.4912028868417472
0.43,3.75,0.24552802604166665,1.261933603569633,0.495507846599493
0.43,4,0.249430734375,1.2723251319758673,0.49943040994216603
0.43,4.25,0.2593173437500001,1.297379729135244,0.5092321118605936
0.43,4.5,0.2588160104166666,1.295237478004022,0.5087396292964276
0.43,4.75,0.26155760937499983,1.302235341251885,0.51142703230764
0.43,5,0.263914359375,1.3083459024635495,0.5137259574666244
0.43,5.25,0.2704619062500001,1.3240113593514333,0.5200595218337994
0.43,5.5,0.2726932291666666,1.3295900892408243,0.5222003726221063
0.43,5.75,0.2724674479166667,1.328586522750126,0.5219841452732704
0.43,6,0.2751434635416665,1.3354614441930615,0.5245411933696595
0.43,6.25,0.27640148958333316,1.3388154380341877,0.5257389937824026
0.43,6.5,0.28071379687499987,1.3494673831070887,0.5298243075539285
0.43,6.75,0.27598784374999996,1.3366814353946705,0.5253454518219416
0.43,7,0.2816265104166664,1.3505652180744088,0.5306849445920493
0.43,7.25,0.2759427291666667,1.336532962543992,0.5253025120505961
0.43,7.5,0.27747965104166683,1.3403194130216192,0.526763372912038
0.5,1,0.2771273749999998,1.3395385558069375,0.5264288888349496
0.5,1.25,0.27848744270833314,1.3432704091251881,0.5277190945079903
0.5,1.5,0.2773648437500001,1.340428214555053,0.526654387383225
0.5,1.75,0.282092916666667,1.3519717823026653,0.5311242007917424
0.5,2,0.28164242708333354,1.3504049616641534,0.5306999407229415
0.5,2.25,0.2792247343750006,1.3448501916792375,0.5284171972740863
0.5,2.5,0.2837470156249999,1.3552762851935642,0.532679092536022
0.5,2.75,0.2843566354166667,1.357192291980895,0.5332510060156161
0.5,3,0.28365491666666653,1.3546552916038206,0.5325926366996323
0.5,3.25,0.28423109375,1.3565481240573152,0.5331332795371154
0.5,3.5,0.2887595260416667,1.3684585532931122,0.5373634952633708
0.5,3.75,0.28838919791666634,1.3661289435646047,0.5370188059245843
0.5,4,0.28418940625,1.3576569570135746,0.5330941814070005
0.5,4.25,0.2859047343750001,1.360497973227753,0.5347006025571694
0.5,4.5,0.2882986874999999,1.3668512757667166,0.5369345281316893
0.5,4.75,0.28654985416666673,1.362427727501257,0.5353035159296703
0.5,5,0.2877798749999998,1.365881881598793,0.5364511860365301
0.5,5.25,0.2845720937499999,1.3575230172197081,0.5334529911341767
0.5,5.5,0.28429621874999994,1.3574126445449972,0.5331943536366452
0.5,5.75,0.2842147083333333,1.355826577425842,0.5331179122233028
0.5,6,0.2836525729166667,1.3556816396430367,0.5325904363736422
0.5,6.25,0.28265122916666663,1.3532184829059828,0.5316495360354099
0.5,6.5,0.28390665104166657,1.3560991704374057,0.5328289134813037
0.5,6.75,0.28025201041666675,1.3471562342885874,0.5293883361169442
0.5,7,0.2807056041666668,1.34864881850176,0.5298165759644244
0.5,7.25,0.27646465625,1.337904176093514,0.5257990645198981
0.5,7.5,0.2754736562499998,1.3356138448969326,0.5248558433036635
0.57,1,0.26706416666666655,1.3102956887883355,0.5167825138940622
0.57,1.25,0.2672789010416667,1.3093592885872296,0.5169902330234747
0.57,1.5,0.26565296354166645,1.305787691679235,0.5154153311084824
0.57,1.75,0.2706959635416665,1.3187908496732021,0.5202845024999943
